Name,MC,MP 
Bitcoin (Биткоин),"₽104,585,885,238,164",30.36%
Ethereum (Эфириум),"₽35,087,965,460,815",10.18%
Tether (Тезер),"₽9,643,638,919,061",2.8%
BNB,"₽7,294,109,427,875",2.12%
Solana (Солана),"₽5,736,139,395,684",1.67%
USDC,"₽2,758,767,922,494",0.8%
XRP,"₽2,258,508,820,441",0.66%
Toncoin (Тонкоин),"₽1,595,405,914,899",0.46%
Dogecoin (Догекоин),"₽1,528,391,964,644",0.44%
Cardano (Кардано),"₽1,180,798,516,992",0.34%
Ethena USDe,"₽308,364,702,127",0.09%
Zeebu,"₽132,506,789,907",0.04%
Fellaz,"₽96,189,459,177",0.03%
Cheelee,"₽94,043,349,259",0.03%
Popcat (SOL),"₽58,466,915,662",0.02%
Fasttoken,"₽57,788,215,368",0.02%
Frax,"₽55,433,887,030",0.02%
PepeCoin,"₽35,752,266,755",0.01%
IPVERSE,"₽33,579,615,147",0.01%
USDB,"₽33,142,779,031",0.01%
Venus BUSD,"₽5,132,795,899",0.0%
Aleph.im,"₽5,094,105,223",0.0%
Gearbox Protocol,"₽5,077,013,163",0.0%
Dora Factory,"₽5,075,164,759",0.0%
XPLA,"₽5,043,967,965",0.0%
DeFi Pulse Index,"₽5,032,798,906",0.0%
ArbDoge AI,"₽5,006,709,012",0.0%
GuildFi,"₽4,976,912,492",0.0%
GameStop,"₽4,955,766,167",0.0%
LTO Network,"₽4,936,988,347",0.0%
BytomDAO,"₽1,286,256,213",0.0%
GameGPT,"₽1,273,920,930",0.0%
Nodle,"₽1,264,755,341",0.0%
SpaceN,"₽1,255,629,888",0.0%
SHPING,"₽1,254,922,088",0.0%
Ambire Wallet,"₽1,254,373,755",0.0%
Suku,"₽1,246,773,874",0.0%
Bitcoin Atom,"₽1,243,031,261",0.0%
Tornado Cash,"₽1,238,421,034",0.0%
Polaris Share,"₽1,236,697,977",0.0%
ASTA,"₽282,278,381",0.0%
GALAXIA,"₽282,045,400",0.0%
Angola,"₽281,971,089",0.0%
Cashaa,"₽280,656,549",0.0%
yAxis,"₽281,446,514",0.0%
Djed,"₽280,559,956",0.0%
BaaSid,"₽278,755,794",0.0%
Jobchain,"₽277,925,231",0.0%
QUINT,"₽276,194,514",0.0%
Ethernity CLOUD,"₽275,847,528",0.0%
Inex Project,"₽31,785,105",0.0%
BLOX,"₽31,747,535",0.0%
Shirtum,"₽31,390,028",0.0%
DomRaider,"₽31,369,909",0.0%
BendDAO,"₽31,346,130",0.0%
Oxygen,"₽31,276,074",0.0%
TRAVA.FINANCE,"₽31,242,897",0.0%
OceanEx Token,"₽30,953,120",0.0%
Playermon,"₽30,939,452",0.0%
Opium,"₽30,923,349",0.0%
XANA,"₽1,204,375,629",0.0%
Zuzalu Inu,"₽136,752,614",0.0%
MMX,"₽34,359,660,065",0.01%
Biconomy Exchange Token,"₽82,305,729",0.0%
DogeSwap,"₽2,567,618,265",0.0%
Keyboard Cat,"₽2,567,618,265",0.0%
Autonolas,"₽5,550,136,242",0.0%
lilpump,"₽317,381,162",0.0%
Seed.Photo,"₽162,557,626,059",0.05%
TonUP,"₽3,021,260,865",0.0%
FORE Protocol,"₽103,341,489",0.0%
Golden Token,"₽833,008,458",0.0%
LP 3pool Curve,"₽833,008,458",0.0%
BIDZ Coin,"₽833,008,458",0.0%
Metavault Trade,"₽343,720,879",0.0%
Qitmeer Network,"₽158,178,546",0.0%
Donald Trump Jr.,"₽21,541,344",0.0%
Aura Network,"₽662,306,523",0.0%
BLACKHOLE PROTOCOL,"₽45,943,916",0.0%
Lanify,"₽45,943,916",0.0%
Cardiocoin,"₽19,658,301",0.0%
Waggle Network,"₽22,791,042",0.0%
Tonald Trump,"₽392,562,386",0.0%
IRON Titanium Token,"₽61,805,949",0.0%
Astroport Classic,"₽11,608,784",0.0%
LSDx Finance,"₽11,173,637",0.0%
ZURRENCY,"₽11,288,572",0.0%
Navcoin,"₽11,288,572",0.0%
LunchDAO,"₽11,288,572",0.0%
Gas DAO,"₽10,152,872",0.0%
